,Time_CPU,Time_RTC,"Acceleration[(x,y,z),(m/s^2)]","Magnetometer[(x,y,z),(uT)]"
218,11:37:07,0:49:23,"(-7.725678869999999, 0.038245935, -0.91790244)","(35.25, 39.75, 22.05)"
219,11:37:18,0:49:34,"(-10.976583345, -1.032640245, -2.562477645)","(46.199999999999996, 8.4, -5.1)"
220,11:37:29,0:49:45,"(-9.905697165000001, -0.53544309, -6.27233334)","(43.65, 21.75, 32.699999999999996)"
221,11:37:39,0:49:55,"(-8.03164635, -0.8031646349999999, -0.879656505)","(46.8, -5.55, -0.8999999999999999)"
222,11:37:50,0:50:6,"(-8.222876025, 0.49719715499999995, -4.818987809999999)","(43.949999999999996, -3.9, 33.15)"
223,11:38:00,0:50:16,"(-9.599729685, -0.84141057, -0.53544309)","(42.9, 22.2, 35.4)"
224,11:38:11,0:50:27,"(-10.364648384999999, 0.45895122, -5.73689025)","(47.55, 22.05, 9.75)"
225,11:38:21,0:50:37,"(-8.299367895, -0.38245935, -2.60072358)","(45.9, -13.5, 11.4)"
226,11:38:32,0:50:48,"(-6.50180895, -0.84141057, -0.956148375)","(41.85, 31.95, 13.95)"
227,11:38:42,0:50:58,"(-8.834810985, 0.0, -4.551266265)","(41.85, -12.299999999999999, 16.95)"
228,11:38:53,0:51:9,"(-10.40289432, -0.879656505, -3.0596748)","(40.65, 2.85, 42.15)"
229,11:39:03,0:51:19,"(-9.982189035, -0.879656505, -1.83580488)","(43.949999999999996, -13.5, 26.25)"
